Book-Title,Author-Name,Description,Level,Image-URL,ISBN,Ratings,Genres
Cybersecurity Essentials,Charles J. Brooks,One of those books on cyber security that introduces readers to the “need-to-knows” of the sector is Cybersecurity Essentials. Real-world examples and explanations of key ideas aid in preparing them for certification exams.,intermediate,"https://m.media-amazon.com/images/I/41j6R2yooDL._SX397_BO1,204,203,200_.jpg",9.78E+12,4.1,Cyber Security
The Pentester Blueprint,Phillip L. Wylie,"Look no further if you want a brand-new cyber security book that has just come out of print. A comprehensive look at the world of white hat hacker operations may be found in The Pentester BluePrint. This book, which was just released in November 2020, is a resource for learning how to pursue a career in penetration testing. It explores basic and advanced topics that are pertinent to the job and helps you assess your current skills and knowledge.",intermediate,"https://m.media-amazon.com/images/I/51Sml0pCAgL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",1119684307,4.2,Cyber Security
 The Hacker and the State,Ben Buchanan,"The Hacker and the State is a chillingly perceptive and realistic examination of how cyber warfare and information security affect the geopolitical landscape. It covers significant nation-state cyberattacks and is replete with anecdotes and insightful information obtained from declassified data, reports, and interviews",intermediate,"https://m.media-amazon.com/images/I/51wcn40QuzL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",674987551,4.2,Cyber Security
Cult of the dead cow,Joseph Menn,"It was published in 2018 and tells the story of the Cult of the Dead Cow, one of the most well-known and longest-lived hacking groups in the world. The book explores the group’s history, their role in the development of hacking culture, and their ongoing efforts to promote social and political change.",intermediate,"https://m.media-amazon.com/images/I/41vACymv5JL._SX321_BO1,204,203,200_.jpg",154176238X,3.8,Cyber Security
The CERT Guide to Insider Threat,"Dawn M. Cappelli, Andrew P. Moore, Randall F. Trzeciak","The book provides an overview of the insider threat problem, including its scope, impact, and potential harm to organizations. It also provides guidance on how to develop a comprehensive insider threat program, including information on how to identify, assess, and mitigate the risk of insider threats. The book is intended for a wide range of readers, including information security professionals, IT managers, and corporate executives.",intermediate,https://m.media-amazon.com/images/I/51nD8DNjMiL.jpg,9.78E+12,3.8,Cyber Security
LikeWar: The Weaponization of Social Media," P. W. Singer, Emerson T. Brooking ","P. W. Singer and Emerson Brooking tackle the mind?bending questions that arise when war goes online and the online world goes to war. 

Delving into the web’s darkest corners, LikeWar outlines a radical new paradigm for understanding and defending against the unprecedented threats of our networked world. ",intermediate,"https://m.media-amazon.com/images/I/51eySrl5hcL._SX340_BO1,204,203,200_.jpg",1328695743,4.1,Cyber Security
Mastering Hacking (The Art of Information Gathering & Scanning) ,Harsh Bothra,"The book presents a straightforward approach to hacking, suitable for readers with varying levels of technical expertise. It covers the newest tools and methods used in Penetration Testing Framework, and teaches how to identify and fix security weaknesses and safeguard assets on a network. The book also features extensive examples of different hacking techniques in real-world scenarios and serves as a guide for taking concrete steps in information security.",intermediate,"https://m.media-amazon.com/images/I/51VlDKqRhtL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg", ? 9386173840,4.4,Cyber Security
Cyber Threat Hunting,Nadhem AlFardan," In Cyber Threat Hunting, you will learn how to see and stop cyber attacks. Explore real-life scenarios, and learn both basic and advanced techniques for threat hunting. This book also comes with downloadable data sets and scenario templates to hone your skills.",advanced,"https://m.media-amazon.com/images/I/41vacHu8sML._SX397_BO1,204,203,200_.jpg",163343947X,4,Cyber Security
Enterprise Cybersecurity in Digital Business,Ariel Evans,"Cyber risk is the highest perceived business risk according to risk managers and corporate insurance experts. Cybersecurity typically is viewed as the boogeyman: it strikes fear into the hearts of non-technical employees. Enterprise Cybersecurity in Digital Business: Building a Cyber Resilient Organization provides a clear guide for companies to understand cyber from a business perspective rather than a technical perspective, and to build resilience for their business.",advanced,"https://m.media-amazon.com/images/I/51N3++Fr82L._SX348_BO1,204,203,200_.jpg",367511495,5,Cyber Security
Ethical Hacking: A Hands-on Introduction to Breaking In,Daniel G. Graham,"In Ethical Hacking, you'll explore the necessary skills for penetration testers, security researchers and malware analysts. You'll work with a variety of pen testing tools and practice tasks such as capturing passwords in a corporate Windows network and scanning devices on the internet to find potential victims.",advanced,"https://m.media-amazon.com/images/I/51MUBRiAytL._SX374_BO1,204,203,200_.jpg",1718501870,2.8,Cyber Security
Evidence-Based Cybersecurity, Pierre-Luc Pomerleau and David Maimon,"In Evidence-Based Cybersecurity, you will learn the foundation of the evidence-based cybersecurity approach and read examples of how it can improve cybersecurity operations. This book is geared toward security professionals and policymakers",advanced,"https://m.media-amazon.com/images/I/41cLnybUCPL._SX329_BO1,204,203,200_.jpg",1032062762,1,Cyber Security
Making Sense of Cybersecurity, Thomas Kranz," In Making Sense of Cybersecurity, you will learn to plan a security strategy and spot your organization's weak points by studying real-world security examples. This book is geared toward business professionals with no background in cybersecurity.",advanced,https://m.media-amazon.com/images/I/41-LQmbquNL._SX260_.jpg,161729800X,1.7,Cyber Security
Mastering Malware Analysis," Alexey Kleymenov, Amr Thabet "," In Mastering Malware Analysis, you will learn how to identify and investigate suspicious activity and create a plan to handle malware incidents. This book is geared toward malware researchers, IT security administrators, forensic analysts and anyone looking to protect their organization from malicious software.",advanced,"https://m.media-amazon.com/images/I/41lm8pX1o4L._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1803240245,3.3,Cyber Security
The Art of Software Security Assessment," Mark Dowd, John McDonald, Justin Schuh","This is known as the “Bible” of OS-level exploitation. The Art of Software Security Assessment explains how to audit security in applications of all sizes and functions. In addition, you will find real examples of past code that were found in high-profile applications. This book covers a wide array of topics, including: code auditing, UNIX/Linux assessment, Windows-specific issues such as objects and the filesystem, IP stacks, firewalls, common application protocols, threat modeling, and more.",advanced,"https://m.media-amazon.com/images/I/511IRBKdkLL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",321444426,0,Cyber Security
The Cuckoo’s Egg, Cliff Stoll,"“Clifford Stoll’s first book, ”The Cuckoo’s Egg,” is both a gripping spy thriller and an intriguing introduction to the futuristic world of international computer networking. It presents a rare view from inside the global village that has been created by the new technologies of data communication. Most improbable of all, this is a true story, subverting our expectations in ways too surprising to be fictitious.”",advanced,"https://m.media-amazon.com/images/I/51Iis55pxOL._SX320_BO1,204,203,200_.jpg",1416507787,5,Cyber Security
Becoming a Data Head: How to Think Speak and Understand Data Science Statistics and Machine Learning,"Alex J. Gutman,Jordan Goldmeier", You'll become a more valuable employee and make your organization more successful,intermediate,"https://m.media-amazon.com/images/I/51dY5RkvW6S._SX331_BO1,204,203,200_.jpg",1119741742,4.6,Data science
Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra Probability and Statistics,Thomas Nield,"Master the math needed to excel in data science, machine learning, and statistics. In this book author Thomas Nield guides you through areas like calculus, probability, linear algebra, and statistics and how they apply to techniques like linear regression, logistic regression, and neural networks",intermediate,"https://m.media-amazon.com/images/I/41khDop3M4L._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1098102932,4.5,Data science
Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,"Foster Provost,Tom Fawcett","Data Science for Business introduces the fundamental principles of data science, and walks you through the ""data-analytic thinking"" necessary for extracting useful knowledge and business value from the data you collect. This guide also helps you understand the many data-mining techniques in use today.",intermediate,"https://m.media-amazon.com/images/I/51fftrpF8jL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1449361323,4,Data science
Data Science from Scratch: First Principles with Python,Joel Grus,"To really learn data science, you should not only master the tools—data science libraries, frameworks, modules, and toolkits—but also understand the ideas and principles underlying them. ",inter-advanced,"https://m.media-amazon.com/images/I/51Yyr31C4FL._SX379_BO1,204,203,200_.jpg",1492041130,3.5,Data science
Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python,"Peter Bruce,Andrew Bruce et al","Statistical methods are a key part of data science, yet few data scientists have formal statistical training. Courses and books on basic statistics rarely cover the topic from a data science perspective",intermediate,"https://m.media-amazon.com/images/I/512uy2XEnHL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",149207294X,4.5,Data science
Python for Data Science: A Hands-On Introduction,Yuli Vasiliev,"Python is an ideal choice for accessing, manipulating, and gaining insights from data of all kinds. Python for Data Science introduces you to the Pythonic world of data analysis with a learn-by-doing approach rooted in practical examples and hands-on activities. You’ll learn how to write Python code to obtain, transform, and analyze data, practicing state-of-the-art data processing techniques for use cases in business management, marketing, and decision support.",intermediate,"https://m.media-amazon.com/images/I/51H48hdQS-L._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1718502206,4,Data science
Practical Linear Algebra for Data Science: From Core Concepts to Applications Using Python,Mike Cohen,"If you want to work in any computational or technical field, you need to understand linear algebra. As the study of matrices and operations acting upon them, linear algebra is the mathematical basis of nearly all algorithms and analyses implemented in computers. But the way it's presented in decades-old textbooks is much different from how professionals use linear algebra today to solve real-world modern applications",intermediate,"https://m.media-amazon.com/images/I/41TnzbKxuPL._SX379_BO1,204,203,200_.jpg",1098120612,2,Data science
Data Science For Dummies (For Dummies (Computer/Tech)),Lillian Pierson,Monetize your company’s data and data science expertise without spending a fortune on hiring independent strategy consultants to help,inter-advanced,"https://m.media-amazon.com/images/I/51PPdGVLMqL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",9.78E+12,4.4,Data science
Practical Data Science with Python: Learn tools and techniques from hands-on examples to extract insights from data,Nathan George,"Practical Data Science with Python teaches you core data science concepts, with real-world and realistic examples, and strengthens your grip on the basic as well as advanced principles of data preparation and storage, statistics, probability theory, machine learning, and Python programming, helping you build a solid foundation to gain proficiency in data science.",intermediate,"https://m.media-amazon.com/images/I/41umAUYMFBL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1801071977,2,Data science
Data Science on AWS: Implementing End-to-End Continuous AI and Machine Learning Pipelines,"Chris Fregly,Antje Barth","With this practical book, AI and machine learning practitioners will learn how to successfully build and deploy data science projects on Amazon Web Services",advanced,"https://m.media-amazon.com/images/I/41MABeMPnhL._SX379_BO1,204,203,200_.jpg",1492079391,0,Data science
Business Data Science: Combining Machine Learning and Economics to Optimize Automate and Accelerate Business Decisions,Matt Taddy,"The key ingredients that make ML work, without getting lost in the hype, and a playbook for how ML and AI can be used to solve business problems",intermediate,"https://m.media-amazon.com/images/I/41K1NmTSIgL._SX400_BO1,204,203,200_.jpg",1260452778,2.3,Data science
Cleaning Data for Effective Data Science: Doing the other 80% of the work with Python R and command-line tools,David Mertz,"this book is your go-to resource, arming you with the insights and heuristics experienced data scientists had to learn the hard way.",advanced,"https://m.media-amazon.com/images/I/51OOiiU7whL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1801071292,0,Data science
Effective Data Science Infrastructure: How to make data scientists productive,Ville Tuulos,How to make data scientists more productive is a hands-on guide to assembling infrastructure for data science and machine learning applications. It reveals the processes used at Netflix and other data-driven companies to manage their cutting edge data infrastructure,inter-advanced,"https://m.media-amazon.com/images/I/41HhxWrsMBL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1617299197,4.6,Data science
Python Data Science Handbook: Essential Tools for Working with Data,Jake VanderPlas,"With this handbook, you'll learn how to use: IPython and Jupyter: provide computational environments for data scientists using Python",inter-advanced,"https://m.media-amazon.com/images/I/51l3Ym7phxL._SX379_BO1,204,203,200_.jpg",1491912057,4.6,Data science
The Enterprise Big Data Lake: Delivering the Promise of Big Data and Data Science,Alex Gorelik,The data lake is a daring new approach for harnessing the power of big data technology and providing convenient self-service capabilities,inter-advanced,"https://m.media-amazon.com/images/I/41EfQnLZhgL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1491931558,0,Data science
Data Science Projects with Python: A case study approach to gaining valuable insights from real data with machine learning 2nd Edition,Stephen Klosterman,"Gain hands-on experience of Python programming with industry-standard machine learning techniques using pandas, scikit-learn, and XGBoost",inter-advanced,"https://m.media-amazon.com/images/I/41uDugehpzL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1800564481,4.6,Data science
Think Like a Data Scientist: Tackle the data science process step--step,Brian Godsey,"Think Like a Data Scientist presents a step-by-step approach to data science, combining analytic, programming, and business perspectives into easy-to-digest techniques and thought processes for solving real world data-centric problems.",intermediate,"https://m.media-amazon.com/images/I/51XuuNrd-cL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1633430278,4.5,Data science
Modern Data Science with R (Chapman & Hall/CRC Texts in Statistical Science),"Benjamin S. Baumer, Daniel T. Kaplan, Nicholas J. Horton",Modern Data Science with R is a comprehensive data science textbook for undergraduates that incorporates statistical and computational thinking to solve real-world data problems.,advanced,"https://m.media-amazon.com/images/I/51lue2aNNUL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",9.78E+12,4.4,Data science
Data Science Ethics: Concepts Techniques and Cautionary Tales,David Martens,Data science ethics is all about what is right and wrong when conducting data science,advanced,"https://m.media-amazon.com/images/I/31Sgqj05ycL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",192847279,5,Data science
Data Science and Machine Learning: Mathematical and Statistical Methods (Chapman & Hall/CRC Machine Learning & Pattern Recognition),"Dirk P. Kroese,Zdravko Botev,Thomas Taimre,Radislav Vaisman","This textbook is a well-rounded, rigorous, and informative work presenting the mathematics behind modern machine learning techniques.",inter-advanced,"https://m.media-amazon.com/images/I/51Fg-flERML._SX368_BO1,204,203,200_.jpg",1138492531,4.8,Data science
Data Science: Advanced Guide to Learn the Realms of Data Science Effectively,Benjamin Smith,Advanced Guide to Learn the Realms of Data Science Effectively,advanced,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1609934433i/56572826.jpg,9.80E+12,4,Data science
Data Science for Supply Chain Forecasting,Nicolas Vandeput,"Using data science in order to solve a problem requires a scientific mindset more than coding skills. Data Science for Supply Chain Forecasting, Second Edition contends that a true scientific method which includes experimentation, observation, and constant questioning must be applied to supply chains to achieve excellence in demand forecasting.",inter-advanced,"https://m.media-amazon.com/images/I/511RpqkPY8L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",3110671107,4.6,Data science
PYTHON FOR DATA SCIENCE: The Ultimate Beginners’ Guide to Learning Python Data Science Step by Step,Mr Ethan Williams,"This book is a comprehensive guide for beginners to learn Python Programming, especially its application for Data Science",beginners,"https://m.media-amazon.com/images/I/51+hfQF+J0L._SX331_BO1,204,203,200_.jpg",1687159106,4.3,Data science
Data Science for Marketing Analytics: A practical guide to forming a killer marketing strategy through data analysis with Python 2nd Edition,"Mirza Rahim Baig,Gururajan Govindan et al.",This book will help you get started on your journey to becoming a master of marketing analytics with Python. You'll work with relevant datasets and build your practical skills by tackling engaging exercises and activities that simulate real-world market analysis projects.,intermediate,"https://m.media-amazon.com/images/I/514mWfJiJ5L._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1800560478,4.6,Data science
The Beginners Guide to Data Science,"Robert Ball, Brian Rague","This book discusses the principles and practical applications of data science, addressing key topics including data wrangling, statistics, machine learning, data visualization, natural language processing and time series analysis",beginners,"https://m.media-amazon.com/images/I/41PROTL44FL._SX367_BO1,204,203,200_.jpg",3031078640,0,Data science
Hands-On Data Science with R: Techniques to perform data manipulation and mining to build smart analytical models using R,"Vitor Bianchi Lanzetta, Nataraj Dasgupta, Ricardo Anjoleto Farias",A hands-on guide for professionals to perform various data science tasks in R,intermediate,"https://m.media-amazon.com/images/I/41eLk4kwZmL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1789139406,4.1,Data science
Machine Learning and Data Science Blueprints for Finance: From Building Trading Strategies to Robo-Advisors Using Python,"Hariom Tatsat, Sahil Puri, Brad Lookabaugh ","This book covers:

Supervised learning regression-based models for trading strategies, derivative pricing, and portfolio management
Supervised learning classification-based models for credit default risk prediction, fraud detection, and trading strategies
Dimensionality reduction techniques with case studies in portfolio management, trading strategy, and yield curve construction
Algorithms and clustering techniques for finding similar objects, with case studies in trading strategies and portfolio management
Reinforcement learning models and techniques used for building trading strategies, derivatives hedging, and portfolio management
NLP techniques using Python libraries such as NLTK and scikit-learn for transforming text into meaningful representations",inter-advanced,"https://m.media-amazon.com/images/I/51EhsIZvh7L._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1492073059,4.3,Data science
Cracking the Data Science Interview: 101+ Data Science Questions & Solutions,Maverick Lin,"Cracking the Data Science Interview is the first book that attempts to capture the essence of data science in a concise, compact, and clean manner. ",inter-advanced,"https://m.media-amazon.com/images/I/41Q+65essfL._SY344_BO1,204,203,200_.jpg",171068013X,0,Data science
SQL for Data Scientists: A Beginners Guide for Building Datasets for Analysis,Renee M. P. Teate,"Jump-start your career as a data scientist—learn to develop datasets for exploration, analysis, and machine learning",beginners,"https://m.media-amazon.com/images/I/41t+hEMAMyL._SX258_BO1,204,203,200_.jpg",1119669367,4.7,Data science
The Data Science Design Manual (Texts in Computer Science),Steven S. Skiena,"This book serves an introduction to data science, focusing on the skills and principles needed to build systems for collecting, analyzing, and interpreting data",inter-advanced,"https://m.media-amazon.com/images/I/415eKEG+v4L._SY344_BO1,204,203,200_.jpg",9.78E+12,0,Data science
Comet for Data Science: Enhance your ability to manage and optimize the life cycle of your data science project,"Angelica Lo Duca, Gideon Mendels","This book provides concepts and practical use cases which can be used to quickly build, monitor, and optimize data science projects. Using Comet, you will learn how to manage almost every step of the data science process from data collection through to creating, deploying, and monitoring a machine learning model.",inter-advanced,"https://m.media-amazon.com/images/I/51PM9mduESL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1801814430,0,Data science
Responsible Data Science,"Peter C. Bruce, Grant Fleming",Explore the most serious prevalent ethical issues in data science with this insightful new resource,beginners,"https://m.media-amazon.com/images/I/41t5BcTNJLS._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1119741750,3.8,Data science
Fundamentals of Data Science with MATLAB: Introduction to Scientific Computing Data Analysis and Data Visualization,Arash Karimpour,"In this book,readers learn about:Programming with the MATLAB language,Data science,analysis,and visualization with the MATLAB language",intermediate,"https://m.media-amazon.com/images/I/51CfFnm+dCL._SX403_BO1,204,203,200_.jpg",1735241016,4.6,Data science
"Big Data: A Revolution That Will Transform How We Live, Work, and Think","Viktor Mayer-Schönberger, Kenneth Cukier ","It seems like “big data” is in the news every day, as we read the latest examples of how powerful algorithms are teasing out the hidden connections between seemingly unrelated things. Whether it is used by the NSA to fight terrorism or by online retailers to predict customers’ buying patterns, big data is a revolution occurring around us, in the process of forever changing economics, science, culture, and the very way we think. But it also poses new threats, from the end of privacy as we know it to the prospect of being penalized for things we haven’t even done yet, based on big data’s ability to predict our future behavior. What we have already seen is just the tip of the iceberg.",beginners,"https://m.media-amazon.com/images/I/416qX5-iCVL._SX330_BO1,204,203,200_.jpg",544227751,4.4,Data science
Business Intelligence Analytics and Data Science: A Managerial Perspective,"Ramesh Sharda, Dursun Delen, Efraim Turban","This is the eBook of the printed book and may not include any media, website access codes, or print supplements that may come packaged with the bound book",inter-advanced,"https://m.media-amazon.com/images/I/51LFDSB-TQL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",134633288,4.5,Data science
The Kaggle Book: Data analysis and machine learning for competitive data science,"Konrad Banachewicz, Luca Massaron, Anthony Goldbloom","The Kaggle Book assembles in one place the techniques and skills you'll need for success in competitions, data science projects, and beyond. Two Kaggle Grandmasters walk you through modeling strategies you won't easily find elsewhere, and the knowledge they've accumulated along the way. As well as Kaggle-specific tips, you'll learn more general techniques for approaching tasks based on image, tabular, textual data, and reinforcement learning. You'll design better validation schemes and work more comfortably with different evaluation metrics.",intermediate,https://m.media-amazon.com/images/I/41w7uhlxSDL.jpg,978-1801817479,5,Data science
Data Science: Concepts and Practice,"Vijay Kotu, Bala Deshpande",Learn the basics of Data Science through an easy to understand conceptual framework and immediately practice using RapidMiner platform.,inter-advanced,"https://m.media-amazon.com/images/I/51wvNgDGEFL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",012814761X,4.7,Data science
Data Science in Education Using R,"Ryan A. Estrellado, Emily A. Freer, Jesse Mostipak, Joshua M. Rosenberg, Isabella C. Velásquez",Data Science in Education Using R is the go-to reference for learning data science in the education field.,inter-advanced,"https://m.media-amazon.com/images/I/41gcUWbPDXL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",367422255,4.6,Data science
Practical Data Science with R,"Nina Zumel, John Mount","Practical Data Science with R lives up to its name. It explains basic principles without the theoretical mumbo-jumbo and jumps right to the real use cases you'll face as you collect, curate, and analyze the data crucial to the success of your business.",intermediate,"https://m.media-amazon.com/images/I/41JrFiTpp1L._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1617291560,4.8,Data science
Storytelling with Data: A Data Visualization Guide for Business Professionals ,Cole Nussbaumer Knaflic,"Storytelling is not an inherent skill, especially when it comes to data visualization, and the tools at our disposal don't make it any easier. This book demonstrates how to go beyond conventional tools to reach the root of your data, and how to use your data to create an engaging, informative, compelling story.",inter-advanced,"https://m.media-amazon.com/images/I/41OonY0kRWL._SX399_BO1,204,203,200_.jpg",1119002257,4.5,Data science
Smarter Data Science: Succeeding with Enterprise-Grade Data and AI Projects,"Neal Fishman, Cole Stryker, and Grady Booch","Data Science book addresses these shortcomings by exploring the reasons data science projects often fail at the enterprise level, and how to fix them. ",inter-advanced,https://m.media-amazon.com/images/I/41nvoQAZerL._SX260_.jpg,978-1119693413,4.7,Data science
 Data Science for Beginners,Andrew Park,"this book provide a solid basic understanding of Python, data analysis, and machine learning.",beginners,"https://m.media-amazon.com/images/I/51ZdiMsMyOL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",979-8645845551,3.9,Data science
Build a Career in Data Science,Emily Robinson and Jacqueline Nolis,"Understanding the fundamental mathematics, theories, and technologies that comprise data science is not the same as preparing for a career",beginners,"https://m.media-amazon.com/images/I/41GZUPnHenL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",1617296244,4.6,Data science
Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil ,"Tracing the arc of a person’s life, O’Neil exposes the black box models that shape our future, both as individuals and as a society. These “weapons of math destruction” score teachers and students, sort résumés, grant (or deny) loans, evaluate workers, target voters, set parole, and monitor our health.

O’Neil calls on modelers to take more responsibility for their algorithms and on policy makers to regulate their use. But in the end, it’s up to us to become more savvy about the models that govern our lives. This important book empowers us to ask the tough questions, uncover the truth, and demand change.",beginners,"https://m.media-amazon.com/images/I/51eUw-v0X+L._SY344_BO1,204,203,200_.jpg",553418815,4.3,Data science
